network,phase,game_num,round,blocker_strategy_id,adversary_strategy_id,blocker_q_max,adversary_q_max,norm_influence,network_type,source
BA-850-m4,train,1,8,2,3,-0.8684043,0.21081816,0.2776470588235294,BA,synthetic
BA-850-m4,train,1,9,2,3,-0.8257574,0.19981313,0.2989411764705882,BA,synthetic
BA-850-m4,train,1,10,2,3,-0.78313816,0.18848144,0.32988235294117646,BA,synthetic
BA-850-m4,train,1,11,2,3,-0.74080116,0.1769017,0.3245882352941176,BA,synthetic
BA-850-m4,train,1,12,2,2,-0.69926023,0.16635866,0.31470588235294117,BA,synthetic
BA-850-m4,train,1,13,2,2,-0.6571887,0.15803783,0.33552941176470585,BA,synthetic
BA-850-m4,train,1,14,2,2,-0.6152107,0.14913222,0.33976470588235297,BA,synthetic
BA-850-m4,train,1,15,2,2,-0.5686825,0.13833629,0.3761176470588235,BA,synthetic
BA-850-m4,train,1,16,2,1,-0.51901066,0.12980196,0.34705882352941175,BA,synthetic
BA-850-m4,train,1,17,2,1,-0.4630361,0.11983183,0.3536470588235294,BA,synthetic
BA-850-m4,train,1,18,2,1,-0.3954951,0.108763725,0.34505882352941175,BA,synthetic
BA-850-m4,train,1,19,2,1,-0.31561503,0.09083282,0.3591764705882353,BA,synthetic
BA-850-m4,train,1,20,2,1,-0.22886159,0.06581154,0.37470588235294117,BA,synthetic
BA-850-m4,train,1,21,2,1,-0.13664137,0.036125883,0.3634117647058823,BA,synthetic
BA-850-m4,train,1,22,0,1,-0.03451256,0.0026330054,0.3744705882352941,BA,synthetic
BA-850-m4,train,1,23,0,1,0.080149814,-0.031736985,0.367764705882353,BA,synthetic
BA-850-m4,train,1,24,0,1,0.19527915,-0.066770665,0.39294117647058824,BA,synthetic
BA-850-m4,train,1,25,0,1,0.3073089,-0.101758875,0.3809411764705882,BA,synthetic
BA-850-m4,train,1,26,0,1,0.36729515,-0.13651419,0.3947058823529412,BA,synthetic
BA-850-m4,train,1,27,0,1,0.3928067,-0.16809064,0.3723529411764706,BA,synthetic
BA-850-m4,train,1,28,0,1,0.41339985,-0.19030455,0.39294117647058824,BA,synthetic
BA-850-m4,train,1,29,0,1,0.43292907,-0.20637554,0.37788235294117645,BA,synthetic
BA-850-m4,train,2,0,3,3,-1.2098744,0.2953677,0.10894117647058822,BA,synthetic
BA-850-m4,train,2,1,3,3,-1.1641551,0.28437948,0.16823529411764707,BA,synthetic
BA-850-m4,train,2,2,3,3,-1.1202961,0.2741947,0.18541176470588236,BA,synthetic
BA-850-m4,train,2,3,3,3,-1.0770276,0.26384178,0.25058823529411767,BA,synthetic
BA-850-m4,train,2,4,3,3,-1.0340686,0.25327533,0.246,BA,synthetic
BA-850-m4,train,2,5,3,3,-0.9924574,0.24249144,0.22823529411764706,BA,synthetic
BA-850-m4,train,2,6,3,3,-0.9513693,0.23189604,0.23529411764705882,BA,synthetic
BA-850-m4,train,2,7,3,3,-0.91021174,0.22125398,0.286,BA,synthetic
BA-850-m4,train,2,8,2,3,-0.86840445,0.21081814,0.26988235294117646,BA,synthetic
BA-850-m4,train,2,9,2,3,-0.8257574,0.19981313,0.3107058823529412,BA,synthetic
BA-850-m4,train,2,10,2,3,-0.78313816,0.18848144,0.29658823529411765,BA,synthetic
BA-850-m4,train,2,11,2,3,-0.74080104,0.17690168,0.3536470588235294,BA,synthetic
BA-850-m4,train,2,12,2,2,-0.69926023,0.16635866,0.3288235294117647,BA,synthetic
BA-850-m4,train,2,13,2,2,-0.6571888,0.15803784,0.3335294117647059,BA,synthetic
BA-850-m4,train,2,14,2,2,-0.6152107,0.14913222,0.33647058823529413,BA,synthetic
BA-850-m4,train,2,15,2,2,-0.56868255,0.1383363,0.33,BA,synthetic
BA-850-m4,train,2,16,2,1,-0.51901066,0.12980196,0.33047058823529407,BA,synthetic
BA-850-m4,train,2,17,2,1,-0.4630361,0.11983183,0.33682352941176474,BA,synthetic
BA-850-m4,train,2,18,2,1,-0.3954951,0.108763725,0.36470588235294116,BA,synthetic
BA-850-m4,train,2,19,2,1,-0.31561503,0.090832815,0.35870588235294115,BA,synthetic
BA-850-m4,train,2,20,2,1,-0.2288615,0.06581154,0.3562352941176471,BA,synthetic
BA-850-m4,train,2,21,2,1,-0.13664135,0.036125902,0.34294117647058825,BA,synthetic
BA-850-m4,train,2,22,0,1,-0.034512598,0.0026330054,0.3643529411764706,BA,synthetic
BA-850-m4,train,2,23,0,1,0.080149785,-0.031736977,0.39458823529411763,BA,synthetic
BA-850-m4,train,2,24,0,1,0.19527914,-0.066770665,0.38494117647058823,BA,synthetic
BA-850-m4,train,2,25,0,1,0.3073089,-0.101758875,0.3918823529411765,BA,synthetic
BA-850-m4,train,2,26,0,1,0.36729515,-0.13651422,0.3749411764705882,BA,synthetic
BA-850-m4,train,2,27,0,1,0.39280674,-0.16809061,0.3972941176470588,BA,synthetic
